URL,Text
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/,"IT Policies, Procedures, and Guidelines"
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/acceptable-uses-of-it-infrastructure-and-resources-policy-statement/,Acceptable Use of IT Infrastructure and Resources
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/account-access-change-control-policy/,Account Access Change Control
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/anti-spoofing-policy/,Anti-Spoofing
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/antivirus-protection-policy/,Antivirus Protection
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/audit-and-accountability-policy/,Audit and Accountability
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/authorized-access-to-electronic-information-policy/,Authorized Access to Electronic Information
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/backup-policy/,Backup
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/business-continuity-and-disaster-recovery-policy/,Business Continuity and Disaster Recovery
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/change-control-policy/,Change Control
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/cloud-server-technical-control-requirements-policy/,Cloud Server Technical Control Requirements
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/configuration-management-policy/#d.en.155784,Configuration Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/corporate-accounts-policy/,Corporate Accounts
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-at-rest-policy/,Data at Rest
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-center-visitor-sign-in-out-policy/,Data Center Sign In/Out
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-classification-and-protection-policy/,Data Classification and Protection
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-documentation-policy/,Data Documentation
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/data-in-transit-policy/,Data in Transit
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/device-sanitization-policy/#d.en.161164,Device Sanitization
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/disk-encryption-policy/,Disk Encryption
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/dual-homed-network-policy/,Dual-Homed Network
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/email-retention-policy/,Email Retention
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/emergency-access-via-privileged-access-management-policy/#d.en.147633,Emergency Access via Privileged Access Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/end-of-life-policy/,End of Life
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/extensions-and-application-auxiliary-services-policy/,Extensions and Application Auxiliary Services
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/firewallaccess-control-list-policy/,Firewall/Access Control List
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/generic-accounts-policy/,Generic Accounts
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/hosting-policy/,Hosting and Sharing Content
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/information-security-breach-response-policy/,Information Security Breach Response
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/information-security-incident-response-policy/,Information Security Incident Response
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/internet-of-things-policy/,Internet of Things
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/it-policy-on-policies/#d.en.90837,IT Security's Policy on Policies
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/it-resources-relocation-policy/,IT Resources Relocation
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/it-resources-remote-access-policy/,IT Resources Remote Access
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/information-technology-security-policy/,IT Security
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/limitations-on-production-data-on-non-production-environments-policy/#d.en.147632,Limitations on Production Data on Non-Production Environments
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/local-device-backup-policy/,Local Device Backup
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/logging-standard-policy/,Logging Standards
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/multi-factor-authentication-policy/,Multi-Factor Authentication
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/password-management-policy/,Password Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/patch-management-policy/,Patch Management
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/pci-hardware-maintenance-policy/,PCI Hardware Maintenance
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/pci-network-protocol-policy/,PCI Network Protocol
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/pci-security-testing-policy/,PCI Security Testing
https://www.fordham.edu/information-technology/it-security--assurance/it-policies-procedures-and-guidelines/peer-to-peer-policy/,Peer-to-Peer
