Policy Name,Text
Acceptable Use of IT Infrastructure and Resources,"For Students, Faculty, Staff, Guests, Alumni
Version 5.1
Purpose
This policy provides notice of the expectations and guidelines of Fordham University (University) to all who use and manage Information Technology (IT) Resources. 
The University provides IT Resources for advancing its educational, research, service, and business objectives. Any access or use of IT Resources that interferes interrupts, or conflicts with this policy is unacceptable and will be considered a violation of this policy. 
Scope
This policy, and all policies referenced herein, apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the ""User(s)"" or ""You"") who use, access, or otherwise employ, locally or remotely, the University's IT Resources, whether individually controlled, shared, standalone, or networked. 
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Non-Fordham-owned mobile devices are User's personal removable electronic storage devices (e.g., USB storage devices, external hard drives) and computing devices (e.g., laptops, tablets, cell phones) used as Bring Your Own Device (BYOD) for University business.
University-owned mobile devices are removable electronic storage devices (e.g., USB storage devices, external hard drives) and computing devices (e.g., laptops, tablets, cell phones) owned or leased by Fordham University and used by the Fordham University community.
Table of Contents
User Responsibilities and Statement of Prohibited Uses
Intellectual Property
Privacy
Monitoring, Reporting, Violations, and Sanctions
User Obligation to Review
Implementation Information and Revision History
Related Policies and Procedures
Additional Office of Information Technology published policies can be found on the IT Policies, Procedures, and Guidelines webpage.
Third-Party IT Resources
The University may contract with software application vendors or providers of other IT Resources. Such third-party providers may have their policies applicable to Users. This policy requires that You must comply with any such third-party policies.
Additional Information
The University will conduct periodic information sessions to present or provide specific examples of inappropriate uses of IT Resources through official communications and awareness training. To create a well-informed User community, the University also encourages questions about proper usage. Please direct inquiries to the Office of Information Technology Service Desk at (718) 817-3999 or the Office of Legal Counsel at (718) 817-3110. "
Account Access Change Control,"Version 1.1
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to define IT Resources account access modifications for entities affiliated with the University.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Authorized parties may deem it necessary to modify an individual’s account access due to a qualifying event. Qualifying events include, but are not limited to:
Change in role/position within the University department
Transfer to another University department
Retirement
Non-working Leave of Absence (LOA)
Employee’s job duties no longer require access to certain services or environments.
Suppose an entity’s status requires a change in account access. In that case, it is the responsibility of the managing supervisor (or higher) to notify Human Resources and IT Service Desk to alter account access to pertinent systems.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Authorized Access to Electronic Information Policy
Authorized Access to Electronic Information Procedure
Change Control Policy
Provisioning and Deprovisioning Policy
Implementation Information
Review Frequency Triennial
Responsible Person Senior Director of IT Security and Assurance
Approved By CISO
Approval Date March 1, 2017
Revision History
Version Date Description
1.0 07/28/2016 Initial policy
1.0.1 03/01/2017 Grammatical changes only. No change to policy.
1.0.2 5/22/2018 Updated scope, disclaimer, definitions
1.0.3 05/22/2019 Updated related policies
1.0.4 03/12/2020 Updated related policies and changed the name of the policy for clarity
  06/22/2021 Reviewed with no changes
1.1 09/08/2023 Updated scope and policy disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Anti-Spoofing,"Version 1.3
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this security policy is to ensure that anti-spoofing measures are in place to detect and block forged source IP addresses from entering University networks.
Scope
This IT security policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the ""User(s)"" or ""you"") who use, access, or otherwise employ, locally or remotely, the University's IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
You must configure network devices to reject packets originating from non-University networks that claim to originate from within Fordham University's owned and managed networks.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Spoofing is a technique used by an intruder to gain unauthorized access to IT Resources. The intruder attempts to infiltrate a network by posing as an internal, trusted source.
Related Policies and Procedures
Firewall/Network Access Control List Policy
PCI Network Protocol
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance 
Approved By: CISO
Approval Date: March 1, 2017
Revision History
Version: Date: Description:
1.0 03/01/2017 Initial document
1.0.1 05/22/2019 Updated policy statement and related policy links
1.2 06/02/2020 Updated policy statement and definitions
1.3 07/31/2023 Updated policy statement, scope, disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Antivirus Protection,"Version 2.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure antivirus software is installed to detect, prevent, and remove malicious software from the University’s IT Resources.
Scope
This IT Policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
All University IT Resources must maintain up-to-date antivirus software. 
The University provides antivirus software. To obtain a copy: 
call the Office of Information Technology Service Desk at 718-817-3999, 
email HelpIT@fordham.edu, or 
download the software from the Fordham IT Antivirus Protection page. 
Uninstalling or disabling the antivirus product for any reason is prohibited. 
Individuals who use non-University-owned or managed antivirus solutions and choose to use other solutions should refer to the documentation provided with the software. 
Users are responsible for updating the software to the most current version and configuring it to update virus definitions at least daily automatically. 
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Implementation Information
Review Frequency Biennial
Responsible Person Senior Director of IT Security and Assurance 
Approved By CISO
Approval Date January 8, 2018
Revision History
Version Date Description
1.0 02/01/2011 Initial policy
1.0.1 01/15/2016 Supersedes version from February 1, 2011. Minor changes for posting on new policy pages on the website.
2.0 01/08/2018 Template change, updated disclaimer statement, updated scope, added IT Resources definition, edits to language using IT Resources, edits to policy statement removing references to specific software.
2.1 06/02/2020 Updated policy statement
2.2 07/01/2022 Updated policy statement"
Antivirus Protection,"Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Audit and Accountability,"Version 1.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure best practices are followed for auditing the University’s IT Resources through the implementation, monitoring, management, and retention of auditable data.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Information Security and Assurance must approve the methods of implementing, monitoring, managing, and retaining auditable (e.g., logs) data.
The University’s Office of Information Technology must continually maintain or develop an approved documented program to monitor, manage, and review IT Resources and User activities.
The University’s Office of Information Technology must continually maintain or develop approved standards and processes to guide the implementation and management of logs per the Logging Standards Policy.
The University’s Office of Information Technology must retain logs that meet University retention requirements per the Records Retention and Disposal Policy.
The logs must be consistent with University policies, IT policies, and applicable laws, regulations, and contracts.
Definitions
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Change Control Policy
Logging Standards Policy
Records Retention and Disposal Policy
Implementation Information
Review Frequency: Biennial
Responsible Person: Senior Director, IT Security Operations and Assurance
Approved By: CISO
Approval Date: March 30, 2020
Revision History
Version: Date: Description:
1.0 03/30/2020 Initial document
1.1 04/20/2022 Update policy statement
1.2 04/30/2024 Updated scope, disclaimer, and policy statement
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by the Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Authorized Access to Electronic Information,"Version 2.2
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to inform an individual or proxy how to temporarily gain access to another user’s Electronic Information stored on University IT Resources, which they may not be authorized to access in their standard business operations.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the ""User(s)"" or ""you"") who use, access, or otherwise employ, locally or remotely, the University's IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Electronic Information access should only occur for legitimate University purposes.
The Chief Information Security Officer (CISO), Chief Information Officer (CIO), or the President can authorize access to Electronic Information without approval from other entities.
The Office of Information Technology may not monitor activities on IT Resources or Standard Software unless a cybersecurity event is triggered as outlined in the Information Security Breach Response Policy, the Wireless Use Policy, or any other activities that violate IT security or privacy policies. NB. The Privacy section in the Acceptable Use of IT Infrastructure and Resources Policy states the following:
The University may exercise these rights for various reasons, including but not limited to:
Ascertaining whether Users are using the systems per the IT policies and other University guidelines;
Preventing, investigating, or detecting unauthorized use of the University's IT Resources; and
Ensuring compliance with applicable laws and regulations.
The University may access Users' Electronic Information in connection with investigations of misconduct or violation of the Acceptable Use of IT Infrastructure and Resources Policy.
Electronic Information may be accessed to obtain Business-Critical Data when a User who typically has access to the files is unable or unavailable to provide consent due to:
An absence where the User is unreachable/unresponsive,
An illness,
A vacation, or
A separation from the University.
Users' Electronic Information access may be necessary to preserve and provide Electronic Information in connection with legal proceedings. Any legal or litigation requests involving a User's Electronic Information must go through the Office of Legal Counsel (OLC) and the Senior Director of IT Security and Assurance for processing.
The University may access Users' Electronic Information to deal with urgent situations threatening campus-wide, personal safety, or well-being.
Out-of-office messages may be part of this approval request policy.
University interim posts or proxies may approve with written consent from the approvers noted in this policy.
If the Electronic Information belongs to Faculty, then the CISO, in conjunction with one of the following appropriate roles: the OLC, Provost, VP of Human Resources, or Associate VP of Public Safety, must approve access.
If the Electronic Information belongs to a Student, then the CISO, in conjunction with one of the following appropriate roles: the OLC, area VP/Dean, or Associate VP of Public Safety, must approve access.
If the Electronic Information belongs to a Staff member, then the CISO, in conjunction with one of the following appropriate roles: the OLC, area VP, VP of Human Resources, or Associate VP of Public Safety, must approve access.
If the Electronic Information belongs to Alumni, then the CISO and the OLC, area VP, or Associate VP of Public Safety must approve access.
If the Electronic Information belongs to a Consultant/Guest, then the CISO and the OLC, area VP/Dean, Associate VP of Public Safety, or Sponsor must approve access.
If the Electronic Information belongs to a Corporate entity, then the CISO and the OLC, area VP/Dean, Associate VP of Public Safety, or Sponsor must approve access.
A User will be given notice when their Electronic Information is accessed, except when it is not possible under the instructions from the OLC.
Records must be kept in the University's IT ticketing system to enable an appropriate review of compliance with this policy. Detailed instructions are in the Authorized Access to Electronic Information Procedure.
Records of accessed Electronic Information are retained to justify the purposes of access through the University's ticketing system.
Information Security and Assurance monthly reports the number of requests fulfilled by class (e.g., employee, staff, student) to the Information Risk Management Board (IRMB). A department head should contact their IRMB representative if they want additional information.
Definitions
Business-Critical Data is any information or data that a business would not recover if lost. At Fordham University, that could be data or information such as contracts or student grades, based on employees' specific work roles or job functions. Each department should identify its business-critical data.
Electronic Information refers to documents and communications, including email, voice mail, and text messages, and their associated metadata, located in files and accounts related to a particular User. Electronic Information includes information stored on licensed cloud servers, such as Blackboard®, Google Drive™, and Panopto™.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Acceptable Use of IT Infrastructure and Resources Policy
Authorized Access to Electronic Information Procedure
Provisioning and Deprovisioning Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: March 25, 2019
Revision History
Version:
Date:
Description:
1.0
03/25/2019
Initial document
1.1
02/14/2020
Updated the policy statement
2.0
09/29/2020
Updated policy statement and definitions
2.1
08/04/2023
Updated policy statement
2.2
03/04/2024
Updated policy purpose, disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Backup,"Version 2.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to maintain data integrity and availability of the University's IT Resources, to prevent data loss within the limits of record retention requirements, and to facilitate the restoration of the IT Resources and business processes.
Scope 
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrators, staff, alumni, authorized guests, delegates, and independent contractors (the ""User(s)"" or ""you"") who use, access, or otherwise employ, locally or remotely, the University's IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
System Owners must perform system state backups1 to support the Recovery Point Objective (RPO) and Recovery Time Objective (RTO).
System state backups must be retained for no less than 90 days and no more than one year unless otherwise stated in the Records Retention and Disposal Policy
Annually, System Owner(s) must test restore system state backups.
No less than 1% of IT Resources must be validated by the defined RPO and RTO.
Audited IT Resources are selected randomly.
Application Owner(s) or Business Analyst(s) with specific knowledge of the IT Resource should request all other types of backups (i.e., pertaining to business requirements) per the Backup Requests Procedure.
Application Owner(s) or Business Analyst(s) must ensure backups meet the Records Retention and Disposal Policy, business, and research requirements.
Backup inventories must be maintained by the System Owner(s).
1 System state backups save or copy information onto digital storage media to restore the server or system to a functioning state.
Definitions
Application Owner is the individual or group responsible for ensuring all the services that comprise an application accomplish the specified objective or set of user requirements. If a third party provides these services, the Application Owner is responsible for maintaining the relationships with the third party providing the service.
Backup is saving or copying information onto digital storage media.
IT Resources include computing, networking, communications, application, telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Recovery Point Objective (RPO) is the maximum acceptable amount of data loss measured in time. It is the age of the files or data in backup storage required to resume normal operations if a computer system or network failure occurs.
Recovery Time Objective (RTO) is the maximum desired length of time allowed between an unexpected failure or disaster and the resumption of normal operations and service levels. The RTO defines the point in time after a failure or disaster at which the consequences of the interruption become unacceptable.
Restore/restoration is performed to return data that has been lost, stolen, or damaged to its original condition or to move data to a new location.
System Owner is the individual or group responsible for the procurement, development, integration, modification, operation, maintenance, and retirement of the server, operating system, or other elements that support an Application Owner providing services. The System Owner provides the technical infrastructure for system state and data retention backups. If a third party provides these services, the System Owner is responsible for maintaining the relationship with the third party providing the service.
Related Policies and Procedures
Backup Requests Procedure
Records Retention and Disposal Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO and CIO
Approval Date: May 16, 2017
Revision History
Version Date Description
1.0 05/16/2017 Initial document
1.0.1 05/22/2018 Updated scope, disclaimer, and definitions
1.1 08/17/2020 Updated policy statement, added definitions
1.2 04/27/2022 Updated policy statement
2.0 08/30/2023 Updated purpose, scope, policy statement, and policy disclaimer
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) will only be considered cooperatively between ISA and the requesting entity with sufficient notice to allow for conducting appropriate risk analysis, documentation, review, and notification to authorized University representatives where necessary. Failure to adhere to ISA written policies may be met with University sanctions up to and including dismissal."
Business Continuity and Disaster Recovery,"Version 1.1
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure the continuity and recovery of the University’s business following the loss of IT Resources.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
Users managing University's IT Resources must have documented Business Continuity (BC) and Disaster Recovery (DR) plans for Fordham-managed IT Resources.
DR Plans should be stored in multiple secure (e.g., Recovery Planner managed by Information Security and Assurance, third-party cloud service provider) and geographically diverse locations, when possible, ensuring their availability and resilience during disruptive disaster events.
At a minimum, DR Plans must be stored on-premises, off-premises, or in separate physical locations.
Managers or persons responsible for IT Resources must brief staff on their roles and responsibilities related to DR planning, including developing, updating, and testing plans.
Users managing University's IT Resources must ensure sufficient financial, personnel, and other resources are available to maintain technological BC and DR plans.
The following recovery maintenance activities must be conducted at minimum annually when a significant change to IT Resources occurs or a new IT Resource is implemented:
Review the BC and DR objectives and strategy,
Update/create BC and DR plans,
Update/create the internal and external contacts lists,
Conduct DR simulation/tabletop exercise(s),
Conduct recovery test(s) in partnership with the Office of Information Technology,
Verify the alternate site(s), if applicable, and
Verify the hardware platform, applications, and operating system requirements if applicable.
Definitions
Business Continuity refers to an organization's ability to continue essential operations and services in the face of disruptive events by implementing measures such as viable backup and recovery procedures.
Disaster Recovery is the ability to restore an organization's critical systems and services to return the entity to an acceptable operating condition following a catastrophic event by activating a Disaster Recovery Plan. Disaster recovery is a subset of business continuity planning.
Disaster Recovery Plan is procedural documentation to reestablish an organization's critical business applications and services following a disaster or significant impacting event.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and any related materials and services.
Related Policies and Procedures
Department of Public Safety Emergency Procedures Handbook
University Emergency Procedures
Implementation Information
Review Frequency: Triennial
Responsible Person: Senior Director of IT Security and Assurance
Approved By: CISO
Approval Date: March 30, 2020
Revision History
Version: Date:
Description:
1.0 03/30/2020 Initial document
1.1 04/04/2023 Updated policy statement, definitions, links
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions."
Change Control,"Version 2.0
For Students, Faculty, Staff, Guests, Alumni
Purpose
The purpose of this policy is to ensure that all changes to University IT Resources minimize any potential negative impact on services and Users.
Scope
This IT policy, and all policies referenced herein, shall apply to all members of the University community, including faculty, students, administrative officials, staff, alumni, authorized guests, delegates, and independent contractors (the “User(s)” or “you”) who use, access, or otherwise employ, locally or remotely, the University’s IT Resources, whether individually controlled, shared, stand-alone, or networked.
Policy Statement
All University IT Resources changes must be documented per the Change Control Process.
All changes to University IT Resources must follow the Change Control Process to ensure appropriate approval, planning, and execution.
Change requests may not be required for non-production (e.g., DEV, Test, QA) environments unless there is a significant upgrade or an impact.
Production change requests must note that the change has been successfully applied, tested, and verified in a non-production environment when a suitable environment(s) exists.
Changes to production environments undergo impact examination before submitting the change request per the Change Control Process. This information will be used to determine the impact of the change by considering:
The impact the proposed change will have on business services if it is expected to cause a widespread outage, a loss of connectivity, or functionality to a specific group or groups.
The risk involved by not making the change;
The risk if the change does not go as planned; and
Predictability of the success of the change.
Changes must be vetted for security implications through Information Security and Assurance participation.
Significant User experience changes must be conveyed to the Change Control Board and communicated to the affected audience and IT Service Desk.
A lessons learned session should occur in the event of an incident during a change request.
Definitions
Change Control is a systematic approach to managing all changes to University IT Resources. The purpose is to ensure that no unnecessary changes are made, that all changes are documented, that services are not unnecessarily disrupted, and that resources are used efficiently.
IT Resources include computing, networking, communications, application, and telecommunications systems, infrastructure, hardware, software, data, databases, personnel, procedures, physical facilities, cloud-based vendors, Software as a Service (SaaS) vendors, and related materials and services.
Related Policies and Procedures
Change Control Process
Change Request in ServiceNow
Patch Management Policy
Vulnerability Management Policy
Implementation Information
Review Frequency: Triennial
Responsible Person: Director of Change Management
Approved By: CISO
Approval Date: April 15, 2019
Revision History
Version Date Description
1.0  04/15/2019 Initial document
1.0.1  04/01/2020 Updated policy statement
1.2  06/02/2020 Updated change request document
1.3  03/03/2022 Updated policy statement
2.0  03/30/2023 Updated the Change Request in ServiceNow link
Policy Disclaimer Statement
Deviations from policies, procedures, or guidelines published and approved by Information Security and Assurance (ISA) may only be done cooperatively between ISA and the requesting entity with sufficient time to allow for appropriate risk analysis, documentation, and possible presentation to authorized University representatives. Failure to adhere to ISA written policies may be met with University sanctions. "
